CODE;NAME;TOTAL;PER_KM
3006;   jarociński;71686;122
3007;   kaliski;83030;72
3008;   kępiński;56486;93
3009;   kolski;87216;86
3010;   koniński;129966;82
3011;   kościański;79230;110
3012;   krotoszyński;77488;109
3013;   leszczyński;56485;70
3014;   międzychodzki;36982;50
3015;   nowotomyski;75363;74
3016;   obornicki;59858;84
3017;   ostrowski;161519;139
3018;   ostrzeszowski;55403;72
3019;   pilski;136621;108
3020;   pleszewski;63147;89
3021;   poznański;390308;205
3022;   rawicki;60405;109
3023;   słupecki;59371;71
3024;   szamotulski;91185;81
3025;   średzki;58456;94
3026;   śremski;61325;107
3027;   turecki;84101;90
3028;   wągrowiecki;70274;68
3029;   wolsztyński;57326;84
3030;   wrzesiński;77667;110
3031;   złotowski;69606;42
3061;   Kalisz;100975;1455
3062;   Konin;74151;901
3063;   Leszno;63952;2007
3064;   Poznań;536438;2048
3201;   białogardzki;47846;57
3202;   choszczeński;48602;37
3203;   drawski;57397;33
3204;   goleniowski;82540;51
3205;   gryficki;60617;59
3206;   gryfiński;82530;44
3207;   kamieński;47227;47
3208;   kołobrzeski;79547;110
3209;   koszaliński;66355;40
3218;   łobeski;37104;35
3210;   myśliborski;66264;56
3211;   policki;79476;119
3212;   pyrzycki;39639;55
3213;   sławieński;56409;54
3214;   stargardzki;120112;79
3215;   szczecinecki;77965;44
3216;   świdwiński;47242;43
3217;   wałecki;53462;38
3261;   Koszalin;107321;1091
3262;   Szczecin;402465;1339
3263;   Świnoujście;40910;202
