symbol,name,parent
5813,Wydawanie gazet,581
5814,Wydawanie czasopism i pozostałych periodyków,581
5819,Pozostała działalność wydawnicza,581
5821,Działalność wydawnicza w zakresie gier komputerowych,582
5829,Działalność wydawnicza w zakresie pozostałego oprogramowania,582
5911,"Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych",591
5912,"Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi",591
5913,"Działalność związana z dystrybucją filmów, nagrań wideo i programów telewizyjnych",591
5914,Działalność związana z projekcją filmów,591
5920,Działalność w zakresie nagrań dźwiękowych i muzycznych,592
6010,Nadawanie programów radiofonicznych,601
6020,Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych,602
6110,Działalność w zakresie telekomunikacji przewodowej,611
6120,"Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej",612
6130,Działalność w zakresie telekomunikacji satelitarnej,613
6190,Działalność w zakresie pozostałej telekomunikacji,619
9102,Działalność muzeów,910
9103,Działalność historycznych miejsc i budynków oraz podobnych atrakcji turystycznych,910
9104,Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody,910
9200,DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI,920
9311,Działalność obiektów sportowych,931
9312,Działalność klubów sportowych,931
9313,Działalność obiektów służących poprawie kondycji fizycznej,931
9319,Pozostała działalność związana ze sportem,931
9321,Działalność wesołych miasteczek i parków rozrywki,932
9329,Pozostała działalność rozrywkowa i rekreacyjna,932
9411,Działalność organizacji komercyjnych i pracodawców,941
9412,Działalność organizacji profesjonalnych,941
9420,Działalność związków zawodowych,942
9491,Działalność organizacji religijnych,949
9492,Działalność organizacji politycznych,949
9499,"Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana",949
9511,Naprawa i konserwacja komputerów i urządzeń peryferyjnych,951
9512,Naprawa i konserwacja sprzętu (tele)komunikacyjnego,951
9521,Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku,952
9522,Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu użytku domowego i ogrodniczego,952
9523,Naprawa obuwia i wyrobów skórzanych,952
9524,Naprawa i konserwacja mebli i wyposażenia domowego,952
9525,"Naprawa zegarów, zegarków oraz biżuterii",952
9529,Naprawa pozostałych artykułów użytku osobistego i domowego,952
9601,Pranie i czyszczenie wyrobów włókienniczych i futrzarskich,960
9602,Fryzjerstwo i pozostałe zabiegi kosmetyczne,960
9603,Pogrzeby i działalność pokrewna,960
9604,Działalność usługowa związana z poprawą kondycji fizycznej,960
9609,"Pozostała działalność usługowa, gdzie indziej niesklasyfikowana",960
9700,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW,970
9810,Gospodarstwa domowe produkujące wyroby na własne potrzeby,981
9820,Gospodarstwa domowe świadczące usługi na własne potrzeby,982
9900,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE,990
1081,Produkcja cukru,108
4322,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych",432
6201,Działalność związana z oprogramowaniem,620
1082,"Produkcja kakao, czekolady i wyrobów cukierniczych",108
1083,Przetwórstwo herbaty i kawy,108
1084,Produkcja przypraw,108
1085,Wytwarzanie gotowych posiłków i dań,108
1086,Produkcja artykułów spożywczych homogenizowanych i żywności dietetycznej,108
1089,"Produkcja pozostałych artykułów spożywczych, gdzie indziej niesklasyfikowana",108
1091,Produkcja gotowej paszy dla zwierząt gospodarskich,109
1092,Produkcja gotowej karmy dla zwierząt domowych,109
1101,"Destylowanie, rektyfikowanie i mieszanie alkoholi",110
1102,Produkcja win gronowych,110
1103,Produkcja cydru i pozostałych win owocowych,110
1104,Produkcja pozostałych niedestylowanych napojów fermentowanych,110
1105,Produkcja piwa,110
1106,Produkcja słodu,110
1107,Produkcja napojów bezalkoholowych; produkcja wód mineralnych i pozostałych wód butelkowanych,110
1200,PRODUKCJA WYROBÓW TYTONIOWYCH,120
1310,Przygotowanie i przędzenie włókien tekstylnych,131
1320,Produkcja tkanin,132
1330,Wykończanie wyrobów włókienniczych,133
1391,Produkcja dzianin metrażowych,139
1392,Produkcja gotowych wyrobów tekstylnych,139
1393,Produkcja dywanów i chodników,139
1394,"Produkcja wyrobów powroźniczych, lin, szpagatów i wyrobów sieciowych",139
1395,"Produkcja włóknin i wyrobów wykonanych z włóknin, z wyłączeniem odzieży",139
1396,Produkcja pozostałych technicznych i przemysłowych wyrobów tekstylnych,139
1399,"Produkcja pozostałych wyrobów tekstylnych, gdzie indziej niesklasyfikowana",139
1411,Produkcja odzieży skórzanej,141
1412,Produkcja odzieży roboczej,141
1413,Produkcja pozostałej odzieży wierzchniej,141
1414,Produkcja bielizny,141
1419,Produkcja pozostałej odzieży i dodatków do odzieży,141
1420,Produkcja wyrobów futrzarskich,142
1431,Produkcja wyrobów pończoszniczych,143
1439,Produkcja pozostałej odzieży dzianej,143
1511,"Wyprawa skór, garbowanie; wyprawa i barwienie skór futerkowych",151
1512,"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich",151
1520,Produkcja obuwia,152
1610,Produkcja wyrobów tartacznych,161
1621,Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna,162
1622,Produkcja gotowych parkietów podłogowych,162
1623,Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa,162
1624,Produkcja opakowań drewnianych,162
1629,"Produkcja pozostałych wyrobów z drewna; produkcja wyrobów z korka, słomy i materiałów używanych do wyplatania",162
1711,Produkcja masy włóknistej,171
1712,Produkcja papieru i tektury,171
1721,Produkcja papieru falistego i tektury falistej oraz opakowań z papieru i tektury,172
1722,"Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych",172
1723,Produkcja artykułów piśmiennych,172
1724,Produkcja tapet,172
1729,Produkcja pozostałych wyrobów z papieru i tektury,172
1811,Drukowanie gazet,181
1812,Pozostałe drukowanie,181
1813,Działalność usługowa związana z przygotowywaniem do druku,181
1814,Introligatorstwo i podobne usługi,181
1820,Reprodukcja zapisanych nośników informacji,182
1910,Wytwarzanie i przetwarzanie koksu,191
1920,Wytwarzanie i przetwarzanie produktów rafinacji ropy naftowej,192
2011,Produkcja gazów technicznych,201
2012,Produkcja barwników i pigmentów,201
2013,Produkcja pozostałych podstawowych chemikaliów nieorganicznych,201
2014,Produkcja pozostałych podstawowych chemikaliów organicznych,201
2015,Produkcja nawozów i związków azotowych,201
2016,Produkcja tworzyw sztucznych w formach podstawowych,201
2017,Produkcja kauczuku syntetycznego w formach podstawowych,201
2020,Produkcja pestycydów i pozostałych środków agrochemicznych,202
2030,"Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających",203
2041,"Produkcja mydła i detergentów, środków myjących i czyszczących",204
2042,Produkcja wyrobów kosmetycznych i toaletowych,204
2051,Produkcja materiałów wybuchowych,205
2052,Produkcja klejów,205
2053,Produkcja olejków eterycznych,205
2059,"Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana",205
2060,Produkcja włókien chemicznych,206
2110,Produkcja podstawowych substancji farmaceutycznych,211
2120,Produkcja leków i pozostałych wyrobów farmaceutycznych,212
2211,Produkcja opon i dętek z gumy; bieżnikowanie i regenerowanie opon z gumy,221
2219,Produkcja pozostałych wyrobów z gumy,221
2221,"Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych",222
2222,Produkcja opakowań z tworzyw sztucznych,222
2223,Produkcja wyrobów dla budownictwa z tworzyw sztucznych,222
2229,Produkcja pozostałych wyrobów z tworzyw sztucznych,222
4329,Wykonywanie pozostałych instalacji budowlanych,432
4331,Tynkowanie,433
4332,Zakładanie stolarki budowlanej,433
4333,Posadzkarstwo; tapetowanie i oblicowywanie ścian,433
4334,Malowanie i szklenie,433
4339,Wykonywanie pozostałych robót budowlanych wykończeniowych,433
4391,Wykonywanie konstrukcji i pokryć dachowych,439
4399,"Pozostałe specjalistyczne roboty budowlane, gdzie indziej niesklasyfikowane",439
4511,Sprzedaż hurtowa i detaliczna samochodów osobowych i furgonetek,451
4519,"Sprzedaż hurtowa i detaliczna pozostałych pojazdów samochodowych, z wyłączeniem motocykli",451
4520,"Konserwacja i naprawa pojazdów samochodowych, z wyłączeniem motocykli",452
